time_period,rainfall,mean_temperature,disease_cases,population,location
2021-09-13/2021-09-19,0.0029883756684112,297.04171790791145,25.0,100400,boaco
2021-09-20/2021-09-26,0.0020240507387648,296.9096842970296,9.0,100675,boaco
2021-09-27/2021-10-03,0.0048445330301331,296.5319584814929,16.0,100170,boaco
2021-10-04/2021-10-10,0.0023310389271076,297.51352361151874,14.0,100853,boaco
2021-10-11/2021-10-17,0.0051508497835259,296.48744775453196,16.0,100522,boaco
2021-10-18/2021-10-24,0.0027790501519265,297.3420542695466,8.0,100532,boaco
2021-10-25/2021-10-31,0.0018513057131368,296.38801626341774,13.0,100056,boaco
2021-11-01/2021-11-07,0.0003871690412939,296.3261214893075,25.0,100099,boaco
2021-11-08/2021-11-14,0.0020093912591525,296.0120533250088,29.0,100929,boaco
2021-11-15/2021-11-21,0.0008608884257913,295.96304991877133,20.0,100626,boaco
2021-11-22/2021-11-28,0.0013861545869242,295.9314058681041,8.0,100204,boaco
2021-11-29/2021-12-05,0.002668504609015,296.17936930333724,20.0,100813,boaco
2021-12-06/2021-12-12,0.0019049647217334,295.44742415450486,17.0,100478,boaco
2021-12-13/2021-12-19,0.0006009743545621,295.8276515510699,9.0,100470,boaco
2021-12-20/2021-12-26,0.0008270637918771,295.9245991502763,4.0,100066,boaco
2021-12-27/2022-01-02,0.0012184879676442,295.4638027315424,12.0,100899,boaco
2022-01-03/2022-01-09,0.0010867622615084,295.43509858815247,16.0,100961,boaco
2022-01-10/2022-01-16,0.0003508933007186,295.45016177827085,14.0,100149,boaco
2022-01-17/2022-01-23,0.0005091048514347,295.88846602390623,26.0,100481,boaco
2022-01-24/2022-01-30,0.0003394627889574,295.3927524959943,21.0,100869,boaco
2022-01-31/2022-02-06,0.0003024495166236,295.9493836697058,14.0,100746,boaco
2022-02-07/2022-02-13,0.0014269099293315,295.95171676726625,16.0,100931,boaco
2022-02-14/2022-02-20,0.002759526218597,295.25304868667166,14.0,100195,boaco
2022-02-21/2022-02-27,0.0002313215134194,296.4125062698004,12.0,100503,boaco
2022-02-28/2022-03-06,0.0011241208013674,296.96542239928084,18.0,100842,boaco
2022-03-07/2022-03-13,0.0012772117699559,297.0235311050544,22.0,100653,boaco
2022-03-14/2022-03-20,0.000758126465674,297.29638705614525,14.0,100234,boaco
2022-03-21/2022-03-27,0.0010513702647853,297.4666556123689,12.0,100088,boaco
2022-03-28/2022-04-03,0.0004863444101937,298.8103106002277,11.0,100625,boaco
2022-04-04/2022-04-10,0.0008357501100641,298.1233076670239,10.0,100629,boaco
2022-04-11/2022-04-17,0.0014391100853322,298.827691440715,12.0,100108,boaco
2022-04-18/2022-04-24,0.0059947665729636,296.9481466262371,8.0,100475,boaco
2022-04-25/2022-05-01,0.0051720170167352,297.6205865607442,17.0,100785,boaco
2022-05-02/2022-05-08,0.0008117592716964,298.73919658491997,10.0,100403,boaco
2022-05-09/2022-05-15,0.0079915876359141,297.96220130144286,27.0,100605,boaco
2022-05-16/2022-05-22,0.0117541440751306,296.1938987470945,15.0,100632,boaco
2022-05-23/2022-05-29,0.0088511164576449,296.7693322702674,41.0,100589,boaco
2022-05-30/2022-06-05,0.0153986346792326,296.41411385283857,44.0,100338,boaco
2022-06-06/2022-06-12,0.0199605466196881,294.7316620977725,82.0,100772,boaco
2022-06-13/2022-06-19,0.0072968698934852,295.68339636455033,43.0,100837,boaco
2022-06-20/2022-06-26,0.0026988909513293,296.22401462203464,46.0,100460,boaco
2022-06-27/2022-07-03,0.0060656590936913,296.2216087578973,39.0,100079,boaco
2022-07-04/2022-07-10,0.0032266775621169,296.12731232925637,33.0,100230,boaco
2022-07-11/2022-07-17,0.0044029409425965,296.5664886188689,46.0,100466,boaco
2022-07-18/2022-07-24,0.0033358376980983,296.3331396781315,38.0,100507,boaco
2022-07-25/2022-07-31,0.0071358802223643,295.57668931741097,38.0,100414,boaco
2022-08-01/2022-08-07,0.0090403561830844,295.7267091139042,63.0,100770,boaco
2022-08-08/2022-08-14,0.0048666368925945,296.5670477925236,92.0,100867,boaco
2019-10-14/2019-10-20,0.0133211292705873,298.665653715533,495.0,100396,chinandega
2019-10-21/2019-10-27,0.0054504525068425,299.7562025240173,426.0,100100,chinandega
2019-10-28/2019-11-03,0.0006920040096417,300.7114923619968,337.0,100542,chinandega
2019-11-04/2019-11-10,0.0033193430412083,300.4070006898551,227.0,100904,chinandega
2019-11-11/2019-11-17,0.0025042862247028,300.0544350027982,223.0,100980,chinandega
2019-11-18/2019-11-24,0.0003166319895984,301.005216635666,155.0,100747,chinandega
2019-11-25/2019-12-01,1.3155948457571349e-05,300.53126841601875,98.0,100965,chinandega
2019-12-02/2019-12-08,4.2875298865048824e-05,301.54945103356556,112.0,100534,chinandega
2019-12-09/2019-12-15,9.31760795277094e-05,301.46323295608283,68.0,100748,chinandega
2019-12-16/2019-12-22,2.53156559572672e-05,301.8751594763152,61.0,100093,chinandega
2019-12-23/2019-12-29,0.0001014955029343,301.8760641563823,64.0,100920,chinandega
2019-12-30/2020-01-05,6.001757400701353e-06,302.35141970660936,64.0,100987,chinandega
2020-01-06/2020-01-12,1.8150983629789057e-05,302.39269579305653,77.0,100732,chinandega
2020-01-13/2020-01-19,0.0001005466700049,302.0239766927517,108.0,100870,chinandega
2020-01-20/2020-01-26,0.0004686012145453,301.0637180159034,107.0,100076,chinandega
2020-01-27/2020-02-02,2.078767515009474e-06,302.5794953331559,130.0,100451,chinandega
2020-02-03/2020-02-09,1.747090871639142e-06,303.0326705498405,113.0,100526,chinandega
2020-02-10/2020-02-16,7.851851080431516e-07,303.58182325734066,90.0,100974,chinandega
2020-02-17/2020-02-23,0.000505683285625,302.4903272578165,82.0,100010,chinandega
2020-02-24/2020-03-01,1.1159546950990923e-05,303.04857682239935,75.0,100509,chinandega
2020-03-02/2020-03-08,9.108303662873497e-05,303.5074917244294,79.0,100127,chinandega
2020-03-09/2020-03-15,2.5191491540899255e-05,303.81570825840237,42.0,100067,chinandega
2020-03-16/2020-03-22,0.0001017338327393,303.564466956417,28.0,100889,chinandega
2020-03-23/2020-03-29,0.0005112146576558,303.4045182708195,21.0,100721,chinandega
2020-03-30/2020-04-05,0.0002440677018908,304.43741397499053,10.0,100891,chinandega
2020-04-06/2020-04-12,0.0011182209840552,303.4527479745395,20.0,100128,chinandega
2020-04-13/2020-04-19,0.0004181863538026,302.9039036331275,20.0,100239,chinandega
2020-04-20/2020-04-26,0.0003466805286375,304.3052569702445,30.0,100425,chinandega
2020-04-27/2020-05-03,0.0007669856847374,304.5064785523059,14.0,100150,chinandega
2020-05-04/2020-05-10,0.0095433320063163,301.90677174251186,13.0,100016,chinandega
2020-05-11/2020-05-17,0.0144696552164421,300.7365207322575,8.0,100095,chinandega
2020-05-18/2020-05-24,0.0157119634634426,300.3247512829552,11.0,100310,chinandega
2020-05-25/2020-05-31,0.032231951319351,297.8834180833851,15.0,100248,chinandega
2020-06-01/2020-06-07,0.0055365303456008,300.05066325324196,24.0,100392,chinandega
2020-06-08/2020-06-14,0.0130318068962608,300.0501598435054,24.0,100956,chinandega
2020-06-15/2020-06-21,0.0029727450248864,301.2629235237928,46.0,100999,chinandega
2020-06-22/2020-06-28,0.0035946995574607,300.44443750669524,43.0,100393,chinandega
2020-06-29/2020-07-05,0.0058335689361317,300.68343467870346,45.0,100520,chinandega
2020-07-06/2020-07-12,0.0007954909983723,301.3908911168854,55.0,100319,chinandega
2020-07-13/2020-07-19,0.0059826466431029,300.8022664593864,59.0,100551,chinandega
2020-07-20/2020-07-26,0.0054959716660773,300.6133366728285,50.0,100570,chinandega
2020-07-27/2020-08-02,0.0085432867014981,300.5778596868083,49.0,100627,chinandega
2020-08-03/2020-08-09,0.002604752946767,301.719167629279,64.0,100248,chinandega
2020-08-10/2020-08-16,0.0222419041198441,299.5776696388003,56.0,100772,chinandega
2020-08-17/2020-08-23,0.0141855241661154,298.6117015652976,51.0,100143,chinandega
2020-08-24/2020-08-30,0.0060691282734947,299.69462115965445,79.0,100177,chinandega
2020-08-31/2020-09-06,0.01196832502018,299.1262795427524,68.0,100918,chinandega
2020-09-07/2020-09-13,0.0069028007299237,299.5488663936012,70.0,100956,chinandega
2020-09-14/2020-09-20,0.0070297647826439,299.6624896972491,94.0,100409,chinandega
2020-09-21/2020-09-27,0.0135326795529098,299.0958188887502,87.0,100971,chinandega
2020-09-28/2020-10-04,0.0148024986250898,298.47100818471944,102.0,100596,chinandega
2020-10-05/2020-10-11,0.0052161531186179,299.943044204831,155.0,100327,chinandega
2020-10-12/2020-10-18,0.0147364150944108,298.856246714824,138.0,100072,chinandega
2020-10-19/2020-10-25,0.0142352602920995,298.7046489296123,140.0,100016,chinandega
2020-10-26/2020-11-01,0.0259585570812662,297.85274126585847,118.0,100719,chinandega
2020-11-02/2020-11-08,0.0168055618368479,298.3589657370722,157.0,100039,chinandega
2020-11-09/2020-11-15,0.0216033435703229,298.5906725402342,192.0,100782,chinandega
2020-11-16/2020-11-22,0.0037940172403577,299.5164230842904,174.0,100002,chinandega
2020-11-23/2020-11-29,0.0003056327934294,299.6812188253944,141.0,100381,chinandega
2020-11-30/2020-12-06,2.66359436478876e-05,299.08851884683844,133.0,100174,chinandega
2020-12-07/2020-12-13,0.0004799600136816,299.78410825449083,89.0,100855,chinandega
2020-12-14/2020-12-20,9.355260113099212e-07,300.3657441426948,49.0,100249,chinandega
2020-12-21/2020-12-27,0.0003417919155052,299.83987807994504,,100580,chinandega
2020-12-28/2021-01-03,0.0002558289389341,300.5882864139526,117.0,100050,chinandega
2021-01-04/2021-01-10,7.308960481455106e-06,301.15865312023624,63.0,100136,chinandega
2021-01-11/2021-01-17,8.387291892140141e-05,301.34340160451166,78.0,100779,chinandega
2021-01-18/2021-01-24,1.479085089010413e-06,301.43455374867955,76.0,100262,chinandega
2021-01-25/2021-01-31,1.5109073222514975e-06,301.20539004776975,79.0,100545,chinandega
2021-02-01/2021-02-07,6.698481130324061e-05,301.69458820536164,97.0,100861,chinandega
2021-02-08/2021-02-14,0.0003061513574297,301.4720684230299,92.0,100971,chinandega
2021-02-15/2021-02-21,6.589680655405611e-05,302.4196042185329,88.0,100764,chinandega
2021-02-22/2021-02-28,7.274242073320365e-07,302.5423288191278,97.0,100354,chinandega
2021-03-01/2021-03-07,9.798555805380544e-05,302.6832059570107,100.0,100369,chinandega
2021-03-08/2021-03-14,0.0019579899409751,301.8961552681622,80.0,100807,chinandega
2021-03-15/2021-03-21,3.411827268271963e-05,302.04174019642585,84.0,100117,chinandega
2021-03-22/2021-03-28,1.802771029298565e-06,303.89453707813914,70.0,100687,chinandega
2021-03-29/2021-04-04,0.0003623035076105,302.992327526227,85.0,100541,chinandega
2021-04-05/2021-04-11,0.00080483088747,302.76895578008055,79.0,100241,chinandega
2021-04-12/2021-04-18,0.0078010180812602,301.0860105620166,73.0,100298,chinandega
2021-04-19/2021-04-25,0.0003589375756255,302.08949679670707,72.0,100008,chinandega
2021-04-26/2021-05-02,0.0055937829979856,300.73377692192105,76.0,100465,chinandega
2021-05-03/2021-05-09,0.0011959259851164,303.129675484817,91.0,100791,chinandega
2021-05-10/2021-05-16,0.0012625939538497,302.97321970678183,75.0,100735,chinandega
2021-05-17/2021-05-23,0.0009010460903016,304.1308719719419,89.0,100610,chinandega
2021-05-24/2021-05-30,0.0017419781164729,303.5124227586851,74.0,100965,chinandega
2021-05-31/2021-06-06,0.0122709263526337,301.1294629197252,65.0,100966,chinandega
2021-06-07/2021-06-13,0.0265098894948179,299.0026364359813,64.0,100484,chinandega
2021-06-14/2021-06-20,0.006376517132705,300.39118244403136,87.0,100462,chinandega
2021-06-21/2021-06-27,0.0112660617497651,299.6204244979634,66.0,100531,chinandega
2021-06-28/2021-07-04,0.0053907652610978,300.4795425474332,72.0,100967,chinandega
2021-07-05/2021-07-11,0.0028947475232666,301.35601742874616,61.0,100698,chinandega
2021-07-12/2021-07-18,0.0002227929681029,302.6976982598423,85.0,100282,chinandega
2021-07-19/2021-07-25,0.0050817557511444,301.4670040896636,60.0,100636,chinandega
2021-07-26/2021-08-01,0.0123019601056459,301.1052371926587,69.0,100873,chinandega
2021-08-02/2021-08-08,0.0039566530876605,301.0322798531061,74.0,100561,chinandega
2021-08-09/2021-08-15,0.0161597191504821,299.5499070268586,72.0,100315,chinandega
2021-08-16/2021-08-22,0.0145147423595297,299.5480769738107,73.0,100874,chinandega
2021-08-23/2021-08-29,0.0096250863359969,299.0638682976408,59.0,100372,chinandega
2021-08-30/2021-09-05,0.0180655901413427,299.2750918840768,50.0,100665,chinandega
2021-09-06/2021-09-12,0.0103094767164024,299.2855035333537,42.0,100255,chinandega
2021-09-13/2021-09-19,0.0079628839476748,300.200328840174,42.0,100496,chinandega
2021-09-20/2021-09-26,0.0029722655282776,299.97670292664975,34.0,100492,chinandega
2021-09-27/2021-10-03,0.0053890012034986,300.2897233649717,32.0,100143,chinandega
2021-10-04/2021-10-10,0.0053186575509963,300.096963124258,41.0,100345,chinandega
2021-10-11/2021-10-17,0.0157446974680674,299.06807365170204,49.0,100345,chinandega
2021-10-18/2021-10-24,0.0029103498889419,299.8749801002289,36.0,100711,chinandega
2021-10-25/2021-10-31,0.0022622437220754,299.6258549049091,54.0,100939,chinandega
2021-11-01/2021-11-07,0.000147470068482,300.02732179833714,72.0,100082,chinandega
2021-11-08/2021-11-14,0.0005858160146623,300.5861084134809,91.0,100434,chinandega
2021-11-15/2021-11-21,0.0002826656248262,300.80082608576845,63.0,100753,chinandega
2021-11-22/2021-11-28,1.2403119342918013e-05,301.1350169625551,64.0,100895,chinandega
2021-11-29/2021-12-05,3.682390813033069e-06,301.6808807168758,43.0,100385,chinandega
2021-12-06/2021-12-12,0.0003106416715746,301.54958986888096,52.0,100773,chinandega
2021-12-13/2021-12-19,0.0007806012032233,301.2108493078785,44.0,100601,chinandega
2021-12-20/2021-12-26,9.983438753463847e-06,301.072938369635,43.0,100588,chinandega
2021-12-27/2022-01-02,2.760928793751538e-05,301.62919339607413,93.0,100260,chinandega
2022-01-03/2022-01-09,7.68436478226784e-06,301.64181766420677,124.0,100539,chinandega
2022-01-10/2022-01-16,4.2868554373376744e-05,301.2911911445084,108.0,100366,chinandega
2022-01-17/2022-01-23,1.0843977616934308e-05,301.6436282585572,133.0,100851,chinandega
2022-01-24/2022-01-30,6.61496974570236e-05,300.92566644296636,140.0,100529,chinandega
2022-01-31/2022-02-06,0.000332219250056,301.7303100381519,140.0,100569,chinandega
2022-02-07/2022-02-13,3.598873961079339e-05,302.57130770378086,85.0,100225,chinandega
2022-02-14/2022-02-20,2.0186775399530675e-05,302.3952942921157,72.0,100467,chinandega
2022-02-21/2022-02-27,6.720718415677946e-05,302.77006591200575,58.0,100946,chinandega
2022-02-28/2022-03-06,0.000158826300862,302.49738135364044,76.0,100081,chinandega
2022-03-07/2022-03-13,0.0003345357457422,303.32553356951047,58.0,100097,chinandega
2022-03-14/2022-03-20,0.0002650784842846,303.47646815052013,57.0,100825,chinandega
2022-03-21/2022-03-27,0.0001176357545756,303.3288913814969,49.0,100480,chinandega
2022-03-28/2022-04-03,0.0007026720675349,302.7655842529329,59.0,100120,chinandega
2022-04-04/2022-04-10,7.189319462967183e-05,304.00215936423984,61.0,100302,chinandega
2022-04-11/2022-04-17,0.0036243428135236,301.931538143558,76.0,100667,chinandega
2022-04-18/2022-04-24,0.0070144552074323,300.7470666979494,83.0,100420,chinandega
2022-04-25/2022-05-01,0.0081910057487148,300.92650421144907,79.0,100602,chinandega
2022-05-02/2022-05-08,0.0053418395132735,300.7829420675144,121.0,100495,chinandega
2022-05-09/2022-05-15,0.0105803630239859,300.43203752770535,127.0,100925,chinandega
2022-05-16/2022-05-22,0.0228283659053298,299.14119014618296,116.0,100960,chinandega
2022-05-23/2022-05-29,0.0135815427877637,298.73348307449345,107.0,100070,chinandega
2022-05-30/2022-06-05,0.0253404693552009,298.34585895886573,155.0,100899,chinandega
2022-06-06/2022-06-12,0.0281466465086216,298.25873734471526,132.0,100833,chinandega
2022-06-13/2022-06-19,0.0098173203205271,299.0264681233073,171.0,100117,chinandega
2022-06-20/2022-06-26,0.0019301504678115,300.2958128450197,167.0,100802,chinandega
2022-06-27/2022-07-03,0.0046999055893062,300.3970210009289,211.0,100599,chinandega
2022-07-04/2022-07-10,0.00509850571553,300.4498007223561,141.0,100043,chinandega
2022-07-11/2022-07-17,0.0042906700412924,301.2729339386646,140.0,100417,chinandega
2022-07-18/2022-07-24,0.0045752087204349,300.2757105243786,165.0,100903,chinandega
2022-07-25/2022-07-31,0.0006745035935027,300.89837713609893,214.0,100049,chinandega
2022-08-01/2022-08-07,0.01005430230077,300.064444897172,202.0,100467,chinandega
2022-08-08/2022-08-14,0.0075371088370825,299.62750879269726,299.0,100319,chinandega
2019-10-14/2019-10-20,0.0078358151372757,294.7538740117746,369.0,100222,esteli
2019-10-21/2019-10-27,0.002647164915774,295.03575807650003,382.0,100702,esteli
2019-10-28/2019-11-03,0.0003524960928947,295.1903907366161,384.0,100308,esteli
2019-11-04/2019-11-10,0.0010528121920335,295.3971197603573,298.0,100464,esteli
2019-11-11/2019-11-17,0.0009493693915022,295.1537524961332,270.0,100007,esteli
2019-11-18/2019-11-24,0.0006817817379761,295.547045905146,208.0,100158,esteli
2019-11-25/2019-12-01,5.363790339864807e-05,294.7421626831918,134.0,100212,esteli
2019-12-02/2019-12-08,0.0003313748504424,294.923056571569,133.0,100663,esteli
2019-12-09/2019-12-15,0.0002345269406561,295.45031236529775,78.0,100980,esteli
2019-12-16/2019-12-22,0.0001402083572261,295.18675924108067,82.0,100808,esteli
2019-12-23/2019-12-29,0.000201430869824,295.6894947086237,58.0,100010,esteli
2019-12-30/2020-01-05,0.0004207573013421,295.15165894073624,78.0,100515,esteli
2020-01-06/2020-01-12,0.0011670376394158,294.65551907194447,59.0,100632,esteli
2020-01-13/2020-01-19,0.0001078983259525,294.99986239029187,61.0,100753,esteli
2020-01-20/2020-01-26,3.298775509769948e-05,296.2476208074678,93.0,100819,esteli
2020-01-27/2020-02-02,6.160997228813677e-05,296.28107651741766,95.0,100653,esteli
2020-02-03/2020-02-09,0.0001978394020809,295.64420480868836,80.0,100133,esteli
2020-02-10/2020-02-16,2.890894545097897e-05,296.0197092324753,78.0,100562,esteli
2020-02-17/2020-02-23,0.0001331671306609,296.8877437503677,69.0,100449,esteli
2020-02-24/2020-03-01,8.782646756897747e-05,296.155135053958,69.0,100049,esteli
2020-03-02/2020-03-08,0.0003419895406448,295.80392862196175,56.0,100043,esteli
2020-03-09/2020-03-15,4.925176730677947e-05,296.3897516700939,49.0,100947,esteli
2020-03-16/2020-03-22,7.439335497433006e-05,296.51026784891167,22.0,100390,esteli
2020-03-23/2020-03-29,0.0003827036136868,298.14722459723924,19.0,100213,esteli
2020-03-30/2020-04-05,5.737636839860387e-05,299.525345215937,15.0,100441,esteli
2020-04-06/2020-04-12,0.0002636546307192,299.38343980203024,18.0,100309,esteli
2020-04-13/2020-04-19,0.00052680189456,299.1519654643162,41.0,100436,esteli
2020-04-20/2020-04-26,0.0001156149264206,299.2280939773162,18.0,100648,esteli
2020-04-27/2020-05-03,0.0004760785084419,299.36636346121634,33.0,100382,esteli
2020-05-04/2020-05-10,0.0067300832778658,297.8324441534863,15.0,100294,esteli
2020-05-11/2020-05-17,0.0237903914496028,297.0169638302531,19.0,100709,esteli
